2000,13.6738465064
2001,13.9385563317
2002,13.9739245683
2003,14.0077447616
2004,14.0620461539
2005,14.0516647885
2006,14.1035911038
2007,14.1336188
2008,14.1792981785
2009,14.1503444758
2010,14.125062474
2011,14.1641381725
2012,14.239177023
2013,14.2255420825
2014,14.248886457
2015,14.269728755
2016,14.279949202
2017,14.3022943906
2018,14.2817197226
2019,14.3163418168
2020,14.3941926623
2021,14.3793859786
2022,14.3848107511
2023,14.4324147521
2024,14.4869159767
2025,14.5165085263
2026,14.5412143205
2027,14.5927193326
2028,14.6181729996
2029,14.6592857402
2030,14.6700681527
2031,14.6335682204
2032,14.7136209961
2033,14.7455105062
2034,14.7534710933
2035,14.8126975477
2036,14.8267800976
2037,14.8840262821
2038,14.9225712182
2039,14.9406577352
2040,14.9732929976
2041,15.0195576483
2042,15.0348671766
2043,15.0766061896
2044,15.1060449642
2045,15.132804021
2046,15.1524618842
2047,15.2067732197
2048,15.2540518623
2049,15.2447757712
2050,15.2598838166
2051,15.3110181305
2052,15.3255903099
2053,15.3905037863
2054,15.4288665172
2055,15.4420872811
2056,15.4559344719
2057,15.5034163308
2058,15.5095163913
2059,15.5432007285
2060,15.5618044893
2061,15.6413074581
2062,15.6388166141
2063,15.711337076
2064,15.7167898056
2065,15.737199925
2066,15.8065688895
2067,15.851749289
2068,15.8527695057
2069,15.8573529903
2070,15.8923030305
2071,15.9266518855
2072,15.9480130129
2073,15.9567094372
2074,15.9930455671
2075,16.0185110611
2076,16.0531578884
2077,16.0785145117
2078,16.0703179539
2079,16.0968556506
2080,16.1360837803
2081,16.1980240322
2082,16.1676177793
2083,16.1908709203
2084,16.2245285332
2085,16.2549318986
2086,16.2657462748
2087,16.3244981803
2088,16.319902484
2089,16.3596935121
2090,16.3746907123
2091,16.3575387186
2092,16.4092936429
2093,16.4519572179
2094,16.4614228179
2095,16.4481227111
2096,16.4801160748
2097,16.5069194593
2098,16.5317849243
