2000,13.6549621544
2001,13.8496508757
2002,13.889284399
2003,13.9233109315
2004,13.9720600145
2005,13.9847754895
2006,14.0065517345
2007,14.0418975316
2008,14.0130525578
2009,14.0278543253
2010,14.0874945704
2011,14.1629958811
2012,14.1772698427
2013,14.1443035451
2014,14.1802263367
2015,14.2294435688
2016,14.2382556886
2017,14.2416816921
2018,14.2904081265
2019,14.3095113681
2020,14.2954544681
2021,14.3719370528
2022,14.3483153702
2023,14.3475642086
2024,14.4226744867
2025,14.3668719692
2026,14.3477153264
2027,14.4446113935
2028,14.4648788415
2029,14.4259840302
2030,14.4519942135
2031,14.5346929269
2032,14.494908744
2033,14.4897360158
2034,14.5781614778
2035,14.5591947249
2036,14.5139497561
2037,14.5474342756
2038,14.5773637508
2039,14.5826260478
2040,14.6402026061
2041,14.6662849345
2042,14.6670523898
2043,14.7357239481
2044,14.7398321605
2045,14.7074778549
2046,14.7665895293
2047,14.7901868731
2048,14.8113642366
2049,14.8392166777
2050,14.8394147302
2051,14.835582642
2052,14.8951808709
2053,14.9683572303
2054,14.9606685469
2055,14.9306412155
2056,14.9441056463
2057,14.9773103948
2058,15.0377618476
2059,15.0718665332
2060,15.0553437399
2061,15.0942080981
2062,15.0909199944
2063,15.109802659
2064,15.1327392263
2065,15.1703072024
2066,15.1684833941
2067,15.1437814844
2068,15.2126002662
2069,15.2219597974
2070,15.2411783609
2071,15.2774506201
2072,15.2940942045
2073,15.2570607579
2074,15.2886619597
2075,15.313961043
2076,15.3299407155
2077,15.3551348299
2078,15.3364590941
2079,15.3659754322
2080,15.3684093083
2081,15.3810389504
2082,15.4307901148
2083,15.4147046713
2084,15.3902150463
2085,15.4078042726
2086,15.4260587694
2087,15.4787818506
2088,15.4276294073
2089,15.4593875229
2090,15.522784919
2091,15.487156892
2092,15.4512818614
2093,15.4766520143
2094,15.4843963269
2095,15.5169532343
2096,15.517662562
2097,15.5110804265
2098,15.5495643387
